Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
Q01062	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1
Q01205	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q02563	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1
Q02769	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q05140	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q05175	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1
Q05546	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q05695	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q05759	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q05962	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1
Q05982	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q06647	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q07066	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q07266	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q07310	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q07984	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q08163	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q08406	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q09073	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Q0VGK4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q1H5H1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q1WIM3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q2TA68	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q3KRE0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q3KRE8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4FZT0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4FZT9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4KLL4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4QRB4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4V897	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4V8C2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q4V8I7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q505J9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q561S0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q568Z4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q569C0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5BJU5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5BK63	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
